GRB220921A,FERMI-LAT,2022-09-21<br>11:05:59 UTC,66.79 deg<br>(04h27m09.6s),-40.25 deg<br>(-40d15'00''),2022-09-21<br>22:43:00 UTC (T0 + 11.6h),2022-09-22<br>03:37:00 UTC (T0 + 16.5h),Pointed,Manual,Edna Ruiz Velasco
GRB220826A,SWIFT-BAT,2022-08-26<br>11:55:21 UTC,206.43 deg<br>(13h45m43.2s),-44.04 deg<br>(-44d02'24''),2022-08-26<br>17:49:56 UTC (T0 + 5.9h),2022-08-26<br>19:01:56 UTC (T0 + 7.1h),Pointed,Manual,Jean Damascene Mbarubucyeye
GRB220730A,SWIFT-BAT,2022-07-30<br>15:48:54 UTC,225.01 deg<br>(15h00m02.4s),-69.5 deg<br>(-69d30'00''),2022-07-30<br>18:09:48 UTC (T0 + 2.35h),2022-07-30<br>21:19:48 UTC (T0 + 5.51h),Pointed,Manual,Ruslan Konno
GRB220726A,FERMI-GBM,2022-07-26<br>09:42:47 UTC,196.9 deg<br>(13h07m36s),-61.8 deg<br>(-61d48'00''),2022-07-26<br>18:41:21 UTC (T0 + 8.98h),2022-07-26<br>20:01:21 UTC (T0 + 10.31h),Tiled,Manual,Ruslan Konno
GRB220706A,SWIFT-BAT,2022-07-06<br>16:09:14 UTC,0.586 deg<br>(00h02m20.64s),-16.39 deg<br>(-16d23'24''),2022-07-06<br>23:51:11 UTC (T0 + 7.70h),2022-07-07<br>04:21:11 UTC (T0 + 12.20h),Pointed,Manual,Ruslan Konno
678635286,FERMI-GBM,2022-07-04<br>13:48:01 UTC,279.86 deg<br>(18h39m26.4s),-44.64 deg<br>(-44d38'24''),2022-07-04<br>21:02:50 UTC (T0 + 7.25h),2022-07-05<br>01:32:50 UTC (T0 + 11.75h),Tiled,Manual,Ruslan Konno
GRB220627A,FERMI-GBM,2022-06-27<br>21:21:00 UTC,201.36 deg<br>(13h25m26.4s),-32.42 deg<br>(-32d25'12''),2022-06-27<br>22:22:41 UTC (T0 + 1.03h),2022-06-27<br>23:22:41 UTC (T0 + 2.03h),Tiled,Manual,Mathieu de Bony
GRB220617A,FERMI-LAT,2022-06-17<br>18:31:12 UTC,156.96 deg<br>(10h27m50.4s),15.53 deg<br>(+15d31'48''),2022-06-18<br>17:42:05 UTC (T0 + 23.18h),2022-06-18<br>18:42:05 UTC (T0 + 24.18h),Pointed,Manual,Mathieu de Bony
675992935,FERMI-GBM,2022-06-03<br>23:48:50 UTC,284.15 deg<br>(18h56m36s),11.84 deg<br>(+11d50'24''),2022-06-03<br>23:50:12 UTC (T0 + 0.02h),2022-06-04<br>03:50:12 UTC (T0 + 4.02h),Tiled,Automatic,Ruslan Konno
GRB220527A,FERMI-LAT,2022-05-27<br>09:17:15 UTC,323.52 deg<br>(21h34m04.8s),-14.97 deg<br>(-14d58'12''),2022-05-28<br>00:24:09 UTC (T0 + 15.12h),2022-05-28<br>03:54:09 UTC (T0 + 18.61h),Pointed,Manual,Ruslan Konno
GRB220430A,SWIFT-BAT,2022-04-30<br>13:53:15 UTC,97.61 deg<br>(06h30m26.4s),9.51 deg<br>(+09d30'36''),2022-04-30<br>17:38:00 UTC (T0 + 3.75h),2022-04-30<br>18:08:00 UTC (T0 + 4.25h),Pointed,Manual,Halim Ashkar
GRB220427A,SWIFT-BAT,2022-04-27<br>21:00:34 UTC,275.86 deg<br>(18h23m26.4s),-56.25 deg<br>(-56d15'00''),2022-04-27<br>22:14:39 UTC (T0 + 1.23h),2022-04-28<br>03:44:39 UTC (T0 + 6.73h),Pointed,Manual,Halim Ashkar
GRB220426B,FERMI-GBM,2022-04-26<br>07:10:36 UTC,138.44 deg<br>(09h13m45.6s),-13.8 deg<br>(-13d48'00''),2022-04-26<br>17:39:50 UTC (T0 + 10.49h),2022-04-26<br>22:36:30 UTC (T0 + 15.46h),Tiled,Manual,Halim Ashkar
GRB220412B,SWIFT-BAT,2022-04-12<br>17:06:48 UTC,320.79 deg<br>(21h23m09.6s),-0.22 deg<br>(-00d13'12''),2022-04-13<br>03:06:00 UTC (T0 + 9.99h),2022-04-13<br>04:01:00 UTC (T0 + 10.90h),Pointed,Manual,Ruslan Konno
GRB220305A,SWIFT-BAT,2022-03-05<br>16:13:08 UTC,107.58 deg<br>(07h10m19.2s),-37.71 deg<br>(-37d42'36''),2022-03-05<br>18:26:41 UTC (T0 + 2.23h),2022-03-05<br>23:44:41 UTC (T0 + 7.53h),Pointed,Manual,Zhi-Qiu Huang
GRB211227A,SWIFT-BAT,2021-12-27<br>23:32:06 UTC,132.14 deg<br>(08h48m33.6s),-2.73 deg<br>(-02d43'48''),2021-12-29<br>00:53:47 UTC (T0 + 25.36h),2021-12-29<br>02:53:47 UTC (T0 + 27.36h),Pointed,Manual,Mathieu de Bony
GRB211207A,SWIFT-BAT,2021-12-07<br>20:52:56 UTC,149.62 deg<br>(09h58m28.8s),-24.35 deg<br>(-24d21'00''),2021-12-07<br>23:42:40 UTC (T0 + 2.83h),2021-12-08<br>03:06:40 UTC (T0 + 6.23h),Pointed,Manual,Mathieu de Bony
GRB211106A,SWIFT-BAT,2021-11-06<br>04:37:31.2 UTC,343.58 deg<br>(22h54m19.2s),-53.23 deg<br>(-53d13'48''),2021-11-06<br>18:33:04 UTC (T0 + 13.93h),2021-11-06<br>21:33:04 UTC (T0 + 16.93h),Pointed,Manual,Mathieu de Bony
GRB210901A,SWIFT-BAT,2021-09-01<br>15:04:36 UTC,295.278 deg<br>(19h41m06.72s),-76.927 deg<br>(-76d55'37.2''),2021-09-01<br>17:52:09 UTC (T0 + 2.79h),2021-09-01<br>22:58:09 UTC (T0 + 7.89h),Pointed,Manual,Zhi-Qiu Huang
GRB210802A,FERMI-LAT,2021-08-02<br>20:08:06 UTC,230.9 deg<br>(15h23m36s),29.846 deg<br>(+29d50'45.6''),2021-08-03<br>17:42:55.34 UTC (T0 + 21.58h),2021-08-03<br>19:09:55 UTC (T0 + 23.03h),Pointed,Manual,Jean Damascene Mbarubucyeye
GRB210731A,SWIFT-BAT,2021-07-31<br>22:21:08.53 UTC,300.31 deg<br>(20h01m14.4s),-28.04 deg<br>(-28d02'24''),2021-07-31<br>22:23:03.34 UTC (T0 + 0.03h),2021-07-31<br>23:25:03 UTC (T0 + 1.07h),Pointed,Automatic,Jean Damascene Mbarubucyeye
GRB210708A,SWIFT-BAT,2021-07-08<br>02:25:37 UTC,173.699 deg<br>(11h34m47.76s),-49.187 deg<br>(-49d11'13.2''),2021-07-08<br>17:35:39 UTC (T0 + 15.17h),2021-07-08<br>20:05:39 UTC (T0 + 17.67h),Pointed,Manual,Mohanraj Senniappan
GRB210702A,SWIFT-BAT,2021-07-02<br>19:07:13 UTC,168.57 deg<br>(11h14m16.8s),-36.741 deg<br>(-36d44'27.6''),2021-07-02<br>19:31:53 UTC (T0 + 0.41h),2021-07-03<br>20:12:08 UTC (T0 + 25.11h) (Multiple nights),Pointed,Manual,Mohanraj Senniappan
GRB210627B,FERMI-GBM,2021-06-27<br>17:57:20 UTC,234.8 deg<br>(15h39m12s),-6.0 deg<br>(-06d00'00''),2021-06-27<br>18:00:15 UTC (T0 + 0.05h),2021-06-27<br>19:00:15 UTC (T0 + 1.05h),Pointed,Automatic,Mohanraj Senniappan
GRB210619B,SWIFT-BAT,2021-06-19<br>23:59:25 UTC,319.713 deg<br>(21h18m51.12s),33.86 deg<br>(+33d51'36''),2021-06-20<br>03:05:52 UTC (T0 + 3.11h),2021-06-20<br>03:35:52 UTC (T0 + 3.61h),Pointed,Manual,Mohanraj Senniappan
GRB210610B,SWIFT-BAT,2021-06-10<br>19:51:27 UTC,243.939 deg<br>(16h15m45.36s),14.391 deg<br>(+14d23'27.6''),2021-06-10<br>20:27:50 UTC (T0 + 0.61h),2021-06-12<br>00:30:34 UTC (T0 + 28.61h) (Multiple nights),Pointed,Manual,Mohanraj Senniappan
GRB210610A,SWIFT-BAT,2021-06-10<br>15:03:43 UTC,204.285 deg<br>(13h37m08.4s),14.48 deg<br>(+14d28'48''),2021-06-10<br>18:23:54 UTC (T0 + 3.34h),2021-06-10<br>20:23:54 UTC (T0 + 5.34h),Pointed,Manual,Mohanraj Senniappan
GRB210528A,FERMI-GBM,2021-05-28<br>14:03:46 UTC,134.1 deg<br>(08h56m24s),-16.3 deg<br>(-16d18'00''),2021-05-28<br>17:33:19 UTC (T0 + 3.5h),2021-05-28<br>18:27:12 UTC (T0 + 4.4h),Tiled,Manual,Ruslan Konno
GRB210521A,MAXI-GSC,2021-05-21<br>13:04:08 UTC,264.674 deg<br>(17h38m41s),-61.752 deg<br>(-61d45'07''),2021-05-22<br>00:55:45 UTC (T0 + 11.9h),2021-05-23<br>04:13:32 UTC (T0 + 39.2h) (Multiple nights),Pointed,Manual,Ruslan Konno
GRB210517A,SWIFT-BAT,2021-05-17<br>05:28:01 UTC,358.174 deg<br>(23h52m42s),-39.105 deg<br>(-39d06'17''),2021-05-18<br>02:29:16 UTC (T0 + 21.0h),2021-05-18<br>04:11:44 UTC (T0 + 22.7h),Pointed,Manual,Ruslan Konno
GRB210509A,SWIFT-BAT,2021-05-09<br>14:32:20.43 UTC,350.363 deg<br>(23h21m27.12s),6.65 deg<br>(+06d39'00''),2021-05-10<br>03:29:06 UTC (T0 + 12.95h),2021-05-10<br>03:59:06 UTC (T0 + 13.45h),Pointed,Manual,Ruslan Konno
GRB210506A,SWIFT-BAT,2021-05-06<br>00:39:48.54 UTC,132.853 deg<br>(08h51m24.72s),4.582 deg<br>(+04d34'55.2''),2021-05-06<br>17:44:00 UTC (T0 + 17.07h),2021-05-06<br>20:14:00 UTC (T0 + 19.57h),Pointed,Manual,Ruslan Konno
GRB210411C,SWIFT-BAT,2021-04-11<br>15:05:51 UTC,296.5593 deg<br>(19h46m14.232s),-39.3728 deg<br>(-39d22'22.08''),2021-04-12<br>00:46:49 UTC (T0 + 9.68h),2021-04-12<br>03:56:49 UTC (T0 + 12.85h),Pointed,Manual,Mathieu de Bony
GRB210307A,SWIFT-BAT,2021-03-07<br>08:42:38 UTC,119.19 deg<br>(07h56m45.6s),-66.963 deg<br>(-66d57'46.8''),2021-03-07<br>18:25:57 UTC (T0 + 9.72h),2021-03-07<br>23:42:57 UTC (T0 + 15.01h),Pointed,Manual,Jean Damascene Mbarubucyeye
GRB210222B,SWIFT-BAT,2021-02-22<br>22:37:26 UTC,154.60606 deg<br>(10h18m25.4544s),-14.93215 deg<br>(-14d55'55.74''),2021-02-23<br>20:53:19 UTC (T0 + 22.26h),2021-02-23<br>23:23:19 UTC (T0 + 24.76h),Pointed,Manual,Mathieu de Bony
GRB201216C,SWIFT-BAT,2020-12-16<br>23:07:31 UTC,16.364 deg<br>(01h05m27.36s),16.538 deg<br>(+16d32'16.8''),2020-12-17<br>20:53:19 UTC (T0 + 21.76h),2020-12-17<br>21:21:19 UTC (T0 + 22.23h),Pointed,Manual,Ruslan Konno
GRB201208A,FERMI-LAT,2020-12-08<br>06:03:23 UTC,158.32352 deg<br>(10h33m17.6448s),-28.71989 deg<br>(-28d43'11.604''),2020-12-08<br>23:52:07 UTC (T0 + 17.81h),2020-12-09<br>00:52:07 UTC (T0 + 18.81h),Pointed,Manual,Ruslan Konno
GRB201024A,SWIFT-BAT,2020-10-24<br>02:48:59 UTC,125.95224 deg<br>(08h23m48.5376s),3.35444 deg<br>(+03d21'15.984''),2020-10-25<br>01:22:05 UTC (T0 + 22.55h),2020-10-25<br>02:52:05 UTC (T0 + 24.05h),Pointed,Manual,Halim Ashkar
GRB201021C,SWIFT-BAT,2020-10-21<br>20:27:18.66 UTC,12.5498 deg<br>(00h50m11.952s),-55.8391 deg<br>(-55d50'20.76''),2020-10-21<br>21:00:34 UTC (T0 + 0.55h),2020-10-21<br>23:00:34 UTC (T0 + 2.55h),Pointed,Automatic,Halim Ashkar
GRB201014A,SWIFT-BAT,2020-10-14<br>22:48:38 UTC,20.8466 deg<br>(01h23m23.184s),27.6923 deg<br>(+27d41'32.28''),2020-10-14<br>22:50:34 UTC (T0 + 0.04h),2020-10-15<br>00:48:01 UTC (T0 + 1.97h),Pointed,Manual,Mathieu de Bony
GRB200914A,FERMI-GBM,2020-09-14<br>12:48:30 UTC,254.512 deg<br>(16h58m02.88s),-36.2914 deg<br>(-36d17'29.04''),2020-09-14<br>18:26:29 UTC (T0 + 5.63h),2020-09-14<br>19:26:29 UTC (T0 + 6.63h),Pointed,Manual,Halim Ashkar
GRB200529A,SWIFT-BAT,2020-05-29<br>00:56:35.77 UTC,238.76394 deg<br>(15h55m03.3456s),-11.07363 deg<br>(-11d04'25.068''),2020-05-29<br>00:58:11 UTC (T0 + 0.03h),2020-05-29<br>01:58:11 UTC (T0 + 1.03h),Pointed,Automatic,Ruslan Konno
GRB200519A,SWIFT-BAT,2020-05-19<br>11:20:23.73 UTC,255.33 deg<br>(03h41m19.2s),-30.38 deg<br>(-30d22'48''),2020-05-19<br>22:00:29 UTC (T0 + 10.67h),2020-05-20<br>00:00:29 UTC (T0 + 12.67h),Pointed,Manual,Fabian Schuessler
GRB200306C,SWIFT-BAT,2020-03-06<br>22:50:39 UTC,198.55607 deg<br>(13h14m13.4568s),11.26992 deg<br>(+11d16'11.712''),2020-03-07<br>02:07:41 UTC (T0 + 3.28h),2020-03-07<br>03:48:41 UTC (T0 + 4.97h),Pointed,Manual,Mathieu de Bony
GRB200120A,FERMI-GBM,2020-01-20<br>23:04:55 UTC,137.82 deg<br>(09h11m16.8s),-70.9 deg<br>(-70d54'00''),2020-01-20<br>23:06:54 UTC (T0 + 0.03h),2020-01-21<br>01:11:10 UTC (T0 + 2.10h),Pointed,Automatic,Mathieu de Bony
GRB191221B,SWIFT-BAT,2019-12-21<br>20:39:13 UTC,154.83017 deg<br>(10h19m19.2408s),-38.15768 deg<br>(-38d09'27.648''),2019-12-21<br>22:44:20 UTC (T0 + 2.09h),2019-12-21<br>23:59:20 UTC (T0 + 3.34h),Pointed,Manual,
GRB191122A,SWIFT-BAT,2019-11-22<br>13:32:56 UTC,54.29 deg<br>(03h37m09.6s),-32.176 deg<br>(-32d10'33.6''),2019-11-22<br>19:03:41 UTC (T0 + 5.51h),2019-11-22<br>21:03:41 UTC (T0 + 7.51h),Pointed,Manual,
GRB191029A,SWIFT-BAT,2019-10-29<br>11:15:20 UTC,352.1399 deg<br>(23h28m33.576s),-40.4638 deg<br>(-40d27'49.68''),2019-10-29<br>18:21:10 UTC (T0 + 7.10h),2019-10-29<br>20:21:10 UTC (T0 + 9.10h),Pointed,Manual,
